raw_designation,normalized_term,pad_category,source_section,source_page,status,notes
DECHET DE PAPIER ET VIEUX JOURNAUX,dechet de papier et vieux journaux,T08,2.3.1,13,new,
FERAILLES HORS USAGE,ferailles hors usage,T08,2.3.1,11,new,
PHOSPHATES NDA,phosphates nda,T08,2.3.1,12,new,
PHOSPHATES ORIGINE LOCALE NDA,phosphates origine locale nda,T08,2.3.1,12,new,
TOURTEREAUX D’ARACHIDE,tourtereaux darachide,T08,2.3.2,22,new,
"AVION, HELICOPTERE, EMBARCATION",avion helicoptere embarcation,T09,2.3.1,14,new,
MATERIEL DE CHANTIER,materiel de chantier,T09,2.3.1,15,new,
TRACTEURS AGRICOLES,tracteurs agricoles,T09,2.3.1,14,new,
VEHICULE ET MATERIEL DE TRANSPORT NDA,vehicule et materiel de transport nda,T09,2.3.1,14,new,
VEHICULES DE CHANTIER ET VEHICULES INDUSTRIELS,vehicules de chantier et vehicules industriels,T09,2.3.1,14,new,
"VEHICULES ROULIER DE 1,5 A 2,5 T",vehicules roulier de 15 a 25 t,T09,2.3.1,14,new,
"VEHICULES ROUTIER DE 1,5 A 2,5 T",vehicules routier de 15 a 25 t,T09,2.3.2,22,new,
SEL DE PRODUCTION LOCALE,sel de production locale,T10,2.3.1,11,new,
BASE PARFUM,base parfum,T11,2.3.1,13,new,
"BITUMES EN FUITS, EN SAC",bitumes en fuits en sac,T11,2.3.1,11,new,
"BITUMES EN FUTS, EN SAC",bitumes en futs en sac,T11,2.3.2,17,new,
BITUMES EN VRAC,bitumes en vrac,T11,2.3.1,11,new,
DECHETS NON FERREUX,dechets non ferreux,T11,2.3.1,11,new,
ESSENCE AUTO,essence auto,T11,2.3.1,10,new,
ESSENCE AVION,essence avion,T11,2.3.1,10,new,
HYDROCARBURES RAFFINEES NDA,hydrocarbures raffinees nda,T11,2.3.1,10,new,
PETROLE BRUT,petrole brut,T11,2.3.1,10,new,
PETROLE LAMPANT,petrole lampant,T11,2.3.1,10,new,
PRODUITS ENERGITIQUES GAZEUX NDA,produits energitiques gazeux nda,T11,2.3.2,21,new,
PRODUITS NERGITIQUES GAZEUX NDA,produits nergitiques gazeux nda,T11,2.3.1,10,new,
A BETON,a beton,T12,2.3.1,11,new,
ACIDE NDA,acide nda,T12,2.3.1,13,new,
ACIDE PHOSPHORIQUE NDA,acide phosphorique nda,T12,2.3.1,13,new,
ALCCOL INDUSTRIEL,alccol industriel,T12,2.3.1,13,new,
ALCOOL INDUSTRIEL,alcool industriel,T12,2.3.3,28,conflict,"Conflit: alcool industriel → T07, T12"
AMIDON,amidon,T12,2.3.1,13,new,
ARTICLES DE MANUFACTURES NDA,articles de manufactures nda,T12,2.3.2,16,new,
ARTICLES DE PUBLICITE SAUF PAPIER IMPRIME,articles de publicite sauf papier imprime,T12,2.3.1,15,new,
ARTICLES EN MATIERES PLASTIQUES NDA,articles en matieres plastiques nda,T12,2.3.2,16,new,
ARTICLES EN MATIERES PLASTIQUES NENDA,articles en matieres plastiques nenda,T12,2.3.3,28,new,
